centre_number,orbit_index,radius,count_excluding_self,mass,log_radius,log_mass,estimator
372,74813,0.048121861869114366,1721,0.01721,-3.034018696414824,-4.062264668758689,knn
372,74813,0.054445914174850826,2333,0.02333,-2.9105474705297634,-3.7580151929487986,knn
372,74813,0.06121776719762222,3162,0.03162,-2.793317817910083,-3.4539654472008112,knn
373,75687,0.0011881101728790791,18,0.00018,-6.735391324227894,-8.622553707074063,knn
373,75687,0.0014936708295861774,24,0.00024,-6.506518544802918,-8.334871634622283,knn
373,75687,0.002351900043507703,33,0.00033,-6.052531748357473,-8.016417903503749,knn
373,75687,0.002975842392767445,44,0.00044,-5.8172281228332325,-7.728735831051967,knn
373,75687,0.003447685462515773,60,0.0006,-5.670052153510056,-7.418580902748128,knn
373,75687,0.004092667857980321,82,0.00082,-5.498558233560039,-7.106206217705975,knn
373,75687,0.005200371435936967,111,0.00111,-5.259025225957878,-6.803395263657894,knn
373,75687,0.006576999282416715,151,0.00151,-5.024176673767883,-6.495645628155304,knn
373,75687,0.008689896965799958,204,0.00204,-4.745594196414948,-6.194805471126012,knn
373,75687,0.011565079407841938,277,0.00277,-4.459765117101647,-5.88890795878289,knn
373,75687,0.013284059063266143,376,0.00376,-4.321190529281636,-5.583336321580334,knn
373,75687,0.01586538023569679,510,0.0051,-4.143615887281972,-5.2785147392518565,knn
373,75687,0.02028425450671155,691,0.00691,-3.8979103339622565,-4.974785641202558,knn
373,75687,0.026686583358246037,937,0.00937,-3.623594335815172,-4.670242182731807,knn
373,75687,0.03651533139471777,1270,0.0127,-3.3100230683736,-4.3661532855175915,knn
373,75687,0.04697690358964014,1721,0.01721,-3.0580992110413914,-4.062264668758689,knn
373,75687,0.05960462176052308,2333,0.02333,-2.820022161599892,-3.7580151929487986,knn
373,75687,0.08346643580683058,3162,0.03162,-2.4833106943207333,-3.4539654472008112,knn
374,76048,0.004887948069080545,18,0.00018,-5.320982681334471,-8.622553707074063,knn
374,76048,0.005793964716333564,24,0.00024,-5.1509384693439655,-8.334871634622283,knn
374,76048,0.0073093565835840955,33,0.00033,-4.918600027755866,-8.016417903503749,knn
374,76048,0.008181347551862459,44,0.00044,-4.805898404543696,-7.728735831051967,knn
374,76048,0.008304442700840485,60,0.0006,-4.790964642221378,-7.418580902748128,knn
374,76048,0.0084131550700637,82,0.00082,-4.77795871838748,-7.106206217705975,knn
374,76048,0.00862459470787377,111,0.00111,-4.753137307560244,-6.803395263657894,knn
374,76048,0.009040587625516266,151,0.00151,-4.706031103868048,-6.495645628155304,knn
374,76048,0.009784873986824084,204,0.00204,-4.626917556415889,-6.194805471126012,knn
374,76048,0.011189527868746399,277,0.00277,-4.492776949796285,-5.88890795878289,knn
374,76048,0.01340867834586226,376,0.00376,-4.311853143901182,-5.583336321580334,knn
374,76048,0.016186442850465107,510,0.0051,-4.123581248189919,-5.2785147392518565,knn
374,76048,0.017111024427355452,691,0.00691,-4.068032319851332,-4.974785641202558,knn
