centre_number,orbit_index,x,y,local_dimension,intercept,r_squared,fit_points,min_fit_count,max_fit_count,estimator,fit_min_radius,fit_max_radius,fit_min_mass,fit_max_mass
136,12861,0.5103371627114238,0.15931305408679097,1.458214995053797,0.2944092202511352,0.9678004076859937,18,15,1947,knn,0.002678140866011558,0.06632654041999995,0.0003,0.03894
137,12935,0.4661624285000849,-0.11306366951418655,1.2259108049404144,-1.073061231829092,0.9945279734928784,18,15,1947,knn,0.0027553305674351855,0.13994427693662106,0.0003,0.03894
138,13185,1.2151503565866828,-0.04828259829687318,1.4048278149030906,0.4864470524101466,0.9743564255379297,18,15,1947,knn,0.00171750299079203,0.06127657337536637,0.0003,0.03894
139,13292,0.516593870029746,0.19569276860873844,1.430547326792089,0.5871556724953709,0.9922109346869352,18,15,1947,knn,0.0018093544568022542,0.06922155350847774,0.0003,0.03894
140,13397,0.28805009374050744,0.2023118602706288,2.637378973676826,4.5934137838454445,0.911163459687269,18,15,1947,knn,0.0061983948364280955,0.060616257011023404,0.0003,0.03894
141,13559,-0.15172612966259036,0.2853995691756246,1.1508635207927282,-0.9190883907952823,0.9975555422796064,18,15,1947,knn,0.0018438744466601894,0.12950601447661403,0.0003,0.03894
142,13718,0.9508550305411931,-0.15439525973714407,1.0425515379707866,-0.7741866257610694,0.9973308813475569,18,15,1947,knn,0.0008268107829079633,0.10563453047361845,0.0003,0.03894
143,13802,-0.5399462969653288,-0.350175184573196,1.4997214642424728,-0.7345867038735577,0.9846648346136668,18,15,1947,knn,0.006888592537887518,0.1981756727700954,0.0003,0.03894
144,13941,0.6038159845705326,0.19328343717367089,1.2589547345508774,-0.15283052050406581,0.9908319317685912,18,15,1947,knn,0.001535786299235875,0.07821783420477595,0.0003,0.03894
145,14045,0.43948624674911535,-0.11982286420026161,1.1261146595875233,-1.3315037607739464,0.9896482706202394,18,15,1947,knn,0.0020976040678759105,0.14056412219186024,0.0003,0.03894
146,14079,0.5745615139371616,0.13671470252294154,1.6857480707438728,0.9593514737093326,0.9862052143947292,18,15,1947,knn,0.005231161626945752,0.06952937059121996,0.0003,0.03894
147,14203,-0.500109639851468,-0.3471593723166217,1.360773096712001,-0.9150031135394441,0.986601701974756,18,15,1947,knn,0.003669392805340842,0.18647461741791174,0.0003,0.03894
148,14260,-0.5749757885108641,0.30370976363667807,1.3719520434266914,-0.055863713594210246,0.9879087860798482,18,15,1947,knn,0.002349216946480711,0.09735626271888498,0.0003,0.03894
149,14262,-0.1623888496249691,0.25226212299405365,1.46279277897602,-0.3134739697998244,0.9711163427458993,18,15,1947,knn,0.0038337335377794345,0.13052587744686306,0.0003,0.03894
150,14275,-1.161068896885197,0.3668164343857225,1.30758482168369,-0.06429408174020156,0.973298366606239,18,15,1947,knn,0.0015947916365430825,0.09724381027967702,0.0003,0.03894
151,14300,1.0366319685104122,-0.1339221146145604,1.0849659504356126,-0.7607500611836379,0.9857396680083744,18,15,1947,knn,0.000871025516868586,0.09437344000379637,0.0003,0.03894
152,14472,0.2025411164746482,0.24738085830152434,1.1511254348341045,-0.7367533045706016,0.9969020428127713,18,15,1947,knn,0.001714839010653096,0.1020461110207274,0.0003,0.03894
153,14500,-0.33062716143547677,0.2740365793134829,1.025701400421622,-1.0632965915158568,0.9834010913447385,18,15,1947,knn,0.001324985744309815,0.10239378809835788,0.0003,0.03894
154,14572,1.2727119922821262,-0.015579304573326251,1.0654606287424426,-0.13721033172814845,0.9881558423348903,18,15,1947,knn,0.0008089849755812326,0.059104376716168194,0.0003,0.03894
155,14599,0.540605789021985,-0.09213879678958084,1.053326594021303,-1.5012363508775428,0.986873431158994,18,15,1947,knn,0.0012239099683169783,0.14183130452000509,0.0003,0.03894
156,14610,0.9967512029305432,0.1203723751729912,1.5357246381794676,1.4039451151754987,0.9865641976452777,18,15,1947,knn,0.0025574561624308306,0.06020339029002639,0.0003,0.03894
157,14737,-1.1360014429113237,0.3671309072860031,1.1860747905718023,-0.08024791159683321,0.9415585392909159,18,15,1947,knn,0.001934667398570585,0.09390551992974387,0.0003,0.03894
158,14813,-0.32508441131197024,0.30437488507770305,1.1881097138296237,-0.5385376984785547,0.9940985559212278,18,15,1947,knn,0.0018302248813917715,0.10162228635507814,0.0003,0.03894
159,14957,-0.506779222988226,0.32079263796456814,1.0402257880818488,-0.6434355495145988,0.9970447078741203,18,15,1947,knn,0.0007935172732458571,0.08259387951033971,0.0003,0.03894
160,15005,0.42737242509075907,-0.12270025308468846,1.2334983294667812,-0.9938199907134055,0.9954443058520847,18,15,1947,knn,0.0025407547309329774,0.1417227627449501,0.0003,0.03894
161,15046,1.2433971951605804,-0.053656962149642815,1.0480977106345957,-0.480514328920021,0.993431764605562,18,15,1947,knn,0.0007338424898359502,0.05794262621879321,0.0003,0.03894
162,15198,1.039548375863551,0.09301223985846921,1.9147611388770243,2.8263128433979334,0.9649725149459901,18,15,1947,knn,0.00241341284983126,0.04376243724505311,0.0003,0.03894
163,15281,0.3988412607506195,0.18601275803583933,0.9668069990623336,-1.0861753454972716,0.9370220900881517,18,15,1947,knn,0.00043883848194478187,0.054191346073022874,0.0003,0.03894
164,15306,-0.45184154755042716,0.28983399699609963,1.283113482190461,-0.2560839786206661,0.9840857637268936,18,15,1947,knn,0.0022620923020650412,0.08679624561591909,0.0003,0.03894
165,15390,-1.0697932131751724,0.3573280674137919,1.3567378962719332,0.3141116561589544,0.9900821727455617,18,15,1947,knn,0.002406710531024554,0.08581404545257185,0.0003,0.03894
166,15418,1.1828296698904686,0.05180484154534918,1.8590877435546933,2.2612574135181784,0.9563225896184547,18,15,1947,knn,0.004010351359724512,0.06995358543973065,0.0003,0.03894
167,15457,-0.3911132760780809,0.3107271829772303,1.0255487836390578,-1.0951617010106132,0.9777012870158573,18,15,1947,knn,0.0007885420551495732,0.09154776734622135,0.0003,0.03894
168,15461,0.49944429444990335,0.12936330553120293,1.2103299638146585,-0.7814350269539857,0.9653488133472571,18,15,1947,knn,0.0017798493236659068,0.08216970723836547,0.0003,0.03894
169,15498,0.7861891072427594,-0.18327419016975197,1.1513084488434022,-1.254863666296585,0.9921565760023623,18,15,1947,knn,0.003211589524994408,0.1598811610255031,0.0003,0.03894
170,15533,0.5834250105517365,0.18130851156157096,1.5212472373053376,0.7983784792649529,0.9954449391017755,18,15,1947,knn,0.002597004325913089,0.0736311427111946,0.0003,0.03894
171,15545,-0.9395513888705608,0.3574409168408938,1.2888094520216802,-0.2822390157297784,0.9911545087614402,18,15,1947,knn,0.002044271930896123,0.10998199980450214,0.0003,0.03894
172,15583,1.1195237508744194,-0.11005858870259416,1.3117881933547904,0.2526686256183129,0.9862063598001337,18,15,1947,knn,0.0017613444390044142,0.08918106415374728,0.0003,0.03894
173,15613,-1.2845913473116446,0.3815853465117739,0.7665466223761835,-1.4792662475695828,0.9659593501681097,18,15,1947,knn,0.00023285602794024626,0.1507421160990749,0.0003,0.03894
174,15634,0.8483507088690676,-0.17098426688516413,1.2080515482521619,-0.8492354358691073,0.9909386244782432,18,15,1947,knn,0.003054905522310977,0.1445376455600403,0.0003,0.03894
175,15687,1.0203466398534555,0.10994439170985075,1.4387417522561925,1.2561479225346746,0.9830534479900779,18,15,1947,knn,0.001712880984307941,0.0533400433694566,0.0003,0.03894
176,15688,-0.34760577993448144,0.30610399195603666,1.1967267735775362,-0.518793075046303,0.9902162089113021,18,15,1947,knn,0.0015629515104777978,0.09863376624542851,0.0003,0.03894
177,15825,0.4162967078482909,0.15079997251552743,1.4994961446564055,0.18250629317918018,0.9612008801447857,18,15,1947,knn,0.0026293850014262577,0.07177481541286149,0.0003,0.03894
